p0,base_max_observations,comparison_max_observations,cutoff_label,cutoff_observations,states_compared,policy_disagreement_count,policy_disagreement_rate,product2_share_base,product2_share_comparison,mean_abs_q_gap_diff,max_abs_q_gap_diff,mean_abs_D_diff,max_abs_D_diff,initial_product_base,initial_product_comparison,initial_q_gap_base,initial_q_gap_comparison
0.2,100,200,safe_interior,90,4186,10,0.0023889154323936935,0.28475871954132825,0.28332537028189203,0.008135859167506221,1.044188706544606,0.018448660243778326,2.3677748447723417,2,2,0.4045747924974421,0.4045725010149184
0.25,100,200,all_common_states,100,5151,38,0.007377208309066201,0.2974179770918268,0.2993593476994758,0.03627929772443465,2.8875392395395343,0.08226598123454593,6.54770802616674,2,2,0.5941813571341186,0.594182342590166
0.25,100,200,safe_interior,90,4186,6,0.001433349259436216,0.3179646440516006,0.31653129479216435,0.010327749077545368,1.0467298934988332,0.023418932148629223,2.373537173466744,2,2,0.5941813571341186,0.594182342590166
0.3,100,200,all_common_states,100,5151,32,0.0062123859444768005,0.3211026985051446,0.32498543972044264,0.03780203094574115,2.633314807443691,0.08571889103342667,5.971235391028779,2,2,0.8384353006911027,0.8382277493722228
0.3,100,200,safe_interior,90,4186,2,0.00047778308647873863,0.3442427138079312,0.3447204968944099,0.012951788338629477,0.9772170516192205,0.029369134554715376,2.21591168167624,2,2,0.8384353006911027,0.8382277493722228
0.35,100,200,all_common_states,100,5151,34,0.006600660066006601,0.33857503397398564,0.34401087167540284,0.03963858920633537,2.43009524555829,0.08988342223658818,5.510420057955299,2,2,1.155186544184616,1.1542182821484275
0.35,100,200,safe_interior,90,4186,6,0.001433349259436216,0.36335403726708076,0.364787386526517,0.016041390370737426,0.95383518554058,0.03637503485427996,2.162891577189523,2,2,1.155186544184616,1.1542182821484275
0.4,100,200,all_common_states,100,5151,33,0.0064065230052417,0.3519704911667637,0.35760046592894584,0.0412752971472386,2.318690023636946,0.09359477811165194,5.257800507113245,2,2,1.5675319202812616,1.5650867676260276
0.4,100,200,safe_interior,90,4186,5,0.0011944577161968467,0.378404204491161,0.3791208791208791,0.019056410664561475,0.9101913318086625,0.043211815565898884,2.0639259224686173,2,2,1.5675319202812616,1.5650867676260276
0.45,100,200,all_common_states,100,5151,29,0.005629974762182101,0.35895942535430014,0.3642011259949524,0.04251441346589739,2.2144890188074795,0.09640456568230683,5.021517049450072,2,2,2.103396695181793,2.09851739018292
0.45,100,200,safe_interior,90,4186,0,0.0,0.3862876254180602,0.3862876254180602,0.021761692535508095,0.8519566050536937,0.04934624157711565,1.931874387876852,2,2,2.103396695181793,2.09851739018292
0.5,100,200,all_common_states,100,5151,27,0.0052417006406523005,0.36245389244806836,0.36769559308872063,0.043127637450309064,2.1225950740462185,0.09779509625920417,4.813140757474425,2,2,2.7917527935759097,2.7831325756340135
0.5,100,200,safe_interior,90,4186,0,0.0,0.38987099856665075,0.38987099856665075,0.023934918651166193,0.790418141980533,0.05427419195275774,1.7923313877109583,2,2,2.7917527935759097,2.7831325756340135
0.55,100,200,all_common_states,100,5151,31,0.006018248883711901,0.3642011259949524,0.3686662783925451,0.04284398024345222,2.058661450159713,0.09715188263821363,4.668166553650149,2,2,3.651974368782504,3.6378675079438167
0.55,100,200,safe_interior,90,4186,3,0.000716674629718108,0.39202102245580506,0.391304347826087,0.025378800122868663,0.7241812296631451,0.05754829959834159,1.6421343076261747,2,2,3.651974368782504,3.6378675079438167
0.6,100,200,all_common_states,100,5151,40,0.0077654824305960005,0.36206561832653855,0.36517181129877696,0.04128543645957391,2.0070464544954323,0.09361776974960055,4.551125747155176,2,2,4.665582220297779,4.644010315110059
0.6,100,200,safe_interior,90,4186,12,0.002866698518872432,0.3901098901098901,0.38724319159101767,0.02583129218989414,0.6438759655275863,0.05857435870724285,1.4600362030103966,2,2,4.665582220297779,4.644010315110059
