p0,iteration,residual
0.85,400,0.0002998662221571635
0.85,425,0.00018095868199452525
0.85,450,0.0001092021780664254
0.85,475,6.589966042724882e-05
0.85,500,3.9768119293626114e-05
0.85,525,2.399865647362276e-05
0.85,550,1.4482342201915799e-05
0.85,575,8.739582398220591e-06
0.85,600,5.274029533097746e-06
0.85,625,3.1826906905507713e-06
0.85,650,1.9206415018402367e-06
0.85,675,1.1590393640403818e-06
0.85,700,6.994393544346167e-07
0.85,725,4.2208696271472945e-07
0.85,750,2.5471458542369874e-07
0.85,775,1.5371126238505894e-07
0.85,800,9.27593220012568e-08
0.85,825,5.597697594339479e-08
0.85,850,3.378013246901901e-08
0.85,875,2.0385115817589394e-08
0.85,900,1.230169743848819e-08
0.85,925,7.423636816383805e-09
0.85,950,4.479900894693856e-09
0.85,975,2.7034658955926716e-09
0.85,1000,1.631441648441978e-09
0.85,1025,9.845209092418372e-10
0.9,1,0.9499995457894381
0.9,25,0.5849843273754267
0.9,50,0.353013189483562
0.9,75,0.2130284626743233
0.9,100,0.12855362706354612
0.9,125,0.07757665254553103
0.9,150,0.046814214095988405
0.9,175,0.028250389382804997
0.9,200,0.017047909821648943
0.9,225,0.010287689325231497
0.9,250,0.006208183452386606
0.9,275,0.003746374969153976
0.9,300,0.0022607781353656264
0.9,325,0.0013642835592904135
0.9,350,0.0008232871687141596
0.9,375,0.0004968188303280385
0.9,400,0.0002998090575800916
0.9,425,0.0001809220293580438
0.9,450,0.00010917875854943304
0.9,475,6.588474250435183e-05
0.9,500,3.9758643097798085e-05
0.9,525,2.399265203223422e-05
0.9,550,1.4478546212615129e-05
0.9,575,8.737187542351421e-06
0.9,600,5.272521498511651e-06
0.9,625,3.1817427341707116e-06
0.9,650,1.920046564407585e-06
0.9,675,1.1586665280560737e-06
0.9,700,6.992060335164751e-07
0.9,725,4.2194113092364205e-07
0.9,750,2.5462355068839315e-07
0.9,775,1.5365449712589907e-07
0.9,800,9.272395828929803e-08
0.9,825,5.59549704348683e-08
0.9,850,3.3766454521355627e-08
0.9,875,2.0376610621042346e-08
0.9,900,1.229642521138885e-08
0.9,925,7.420368319799309e-09
0.9,950,4.477875847896939e-09
0.9,975,2.7022082349503762e-09
0.9,1000,1.6306742622873571e-09
0.9,1025,9.840377401815203e-10
